image,caption,category
1094.jpg,a man in a coat and hat looking at his cell,Technology / Screen
1095.jpg,a man playing guitar on a stage in front of a building,Sports / Physical Activity
1096.jpg,a man sitting at a table with a laptop,Technology / Screen
1097.jpg,a small dog laying in the grass with a ball,Sports / Physical Activity
1098.jpg,a laptop and a phone on a desk,Technology / Screen
1099.jpg,a basket with a flower and a magazine on top,Indoor Objects / Scenes
1100.jpg,a woman sitting at a table with a drink,Food / Eating
1101.jpg,two boys playing in the water,Social Interaction (Pairs)
1102.jpg,three men sitting at a table,Group / Crowd
1103.jpg,three people sitting in chairs playing accordions,Group / Crowd
1104.jpg,a wooden table,Indoor Objects / Scenes
1105.jpg,a large painting on the wall,Outdoor / Vehicles
1106.jpg,a man laying on a bed with a laptop and a dog,Human-Animal Interaction
1107.jpg,a woman sitting at a desk using a computer,Technology / Screen
1108.jpg,a woman holding a bowl of food in her hands,Food / Eating
1109.jpg,a yellow chair and a blue bag on the grass,Indoor Objects / Scenes
1110.jpg,two little girls sitting on a bed,Social Interaction (Pairs)
1111.jpg,a football player is about to throw the ball,Sports / Physical Activity
1112.jpg,a woman walking a dog down a street,Human-Animal Interaction
1113.jpg,a man kneeling down on the ground with a paint can,Single Person
1114.jpg,two girls skate down a street in the city,Social Interaction (Pairs)
1115.jpg,a woman is jumping off a rock into the ocean,Single Person
1116.jpg,a kitchen with black tile and green accents,Food / Eating
1117.jpg,a man sitting at a table with a laptop and a sandwich,Technology / Screen
1118.jpg,a laptop computer,Technology / Screen
1119.jpg,a group of people holding plates of food,Group / Crowd
1120.jpg,a bike parked against a garage door in the middle of the city,Outdoor / Vehicles
1121.jpg,two people standing in front of a sign,Social Interaction (Pairs)
1122.jpg,a cat eating food out of a plate in a kitchen,Food / Eating
1123.jpg,a dog is walking on the beach with a plastic bottle,Animal Focus
1124.jpg,a group of young women playing tennis on a tennis court,Group / Crowd
1125.jpg,a young boy holding a guitar in his hand,Single Person
1126.jpg,a man playing pool,Sports / Physical Activity
1127.jpg,a man eating a dough with powdered sugar on it,Food / Eating
1128.jpg,a bird sitting on a bag,Animal Focus
1129.jpg,a small dog standing on top of a wooden chair,Animal Focus
1130.jpg,a man is handing a bowl of flowers to another man,Social Interaction (Pairs)
1131.jpg,person is listed as the most professional tennis player in the world,Sports / Physical Activity
1132.jpg,a man in a green shirt and sunglasses singing into a microphone,Single Person
1133.jpg,"a table with a cup of tea, lemons and a can of soda",Food / Eating
1134.jpg,a white chair with a monitor on it,Technology / Screen
1135.jpg,a woman in a green shirt and black shorts playing soccer,Sports / Physical Activity
1136.jpg,a group of men sitting around a table,Group / Crowd
1137.jpg,a plate with two slices of cake on it,Food / Eating
1138.jpg,a man playing drums,Sports / Physical Activity
1139.jpg,a man playing frurd with a dog,Human-Animal Interaction
1140.jpg,a group of people dressed as a rabbit,Group / Crowd
1141.jpg,a woman in a kitchen preparing food,Food / Eating
1142.jpg,a todd playing with toys on the floor,Sports / Physical Activity
1143.jpg,a piece of cheese on a plate next to a cup of coffee,Food / Eating
1144.jpg,a pineapple and a pineapple drink on a table,Food / Eating
1145.jpg,a man sitting on a wooden table with a red light,Single Person
1146.jpg,a man and a child are standing next to a sign,Adult-Child Interaction
1147.jpg,a woman and a child playing with a stuffed animal,Adult-Child Interaction
1148.jpg,a dog is sitting next to a bowl of food,Food / Eating
1149.jpg,a table with a variety of food on it,Food / Eating
1150.jpg,a man in a green uniform and blue gloves is looking at a small turtle on the beach,Single Person
1151.jpg,a banana and a banana peel on a cutting board,Food / Eating
1152.jpg,a plate with a plate of food and a book,Food / Eating
1153.jpg,"a laptop computer sitting on a desk with a book, mouse, and mouse",Technology / Screen
1154.jpg,a young girl is playing with a monkey,Sports / Physical Activity
1155.jpg,a couple of kids walking on a beach,Social Interaction (Pairs)
1156.jpg,a man and a child playing pool,Adult-Child Interaction
1157.jpg,a group of people playing instruments in a room,Group / Crowd
1158.jpg,a woman is feeding a dog in a bucket,Human-Animal Interaction
1159.jpg,two men are sitting at a table with a bowling ball,Social Interaction (Pairs)
1160.jpg,a woman sitting on the road with her legs crossed,Single Person
1161.jpg,a woman sitting in a chair with two men standing behind her,Social Interaction (Pairs)
1162.jpg,two boys holding up a clock with a sign on it,Social Interaction (Pairs)
1163.jpg,a woman is standing next to a sign,Single Person
1164.jpg,a person flying a kite on the beach,Sports / Physical Activity
1165.jpg,a woman standing in a yard with a camera,Technology / Screen
1166.jpg,a red bowl and a black kettle on a blue table,Food / Eating
1167.jpg,a man holding a child and an eagle,Adult-Child Interaction
1168.jpg,a person is holding chops over a plate of sui,Food / Eating
1169.jpg,two girls playing soccer on a field,Social Interaction (Pairs)
1170.jpg,a boy and a girl sitting on a couch playing with a tablet,Social Interaction (Pairs)
1171.jpg,a watch and a cell phone on a black surface,Technology / Screen
1172.jpg,a man running on the beach,Single Person
1173.jpg,a man riding a bike down the road,Single Person
1174.jpg,a pink couch,Indoor Objects / Scenes
1175.jpg,a large elk crossing the road,Outdoor / Vehicles
1176.jpg,a group of people walking down a snow covered street,Group / Crowd
1177.jpg,two women are posing for the camera in a booth,Social Interaction (Pairs)
1178.jpg,a little girl sitting at a table with a cup and a spoon,Food / Eating
1179.jpg,a vase of flowers on a table with a remote control,Indoor Objects / Scenes
1180.jpg,three boys standing in the dirt near a field,Group / Crowd
1181.jpg,a man sitting on the sidewalk next to a sign,Single Person
1182.jpg,a woman in a blue dress,Single Person
1183.jpg,a woman standing next to a fire,Single Person
1184.jpg,a young boy standing in a room with a toy,Single Person
1185.jpg,a baseball player is throwing a ball,Sports / Physical Activity
1186.jpg,a little girl is playing with some balls,Sports / Physical Activity
1187.jpg,a man and woman eating food outside,Social Interaction (Pairs)
1188.jpg,a group of people in white outfits holding a torch,Group / Crowd
1189.jpg,a woman sitting at a table with a drink,Food / Eating
1190.jpg,a young boy is holding a toothbrush,Single Person
1191.jpg,two children playing on the beach,Social Interaction (Pairs)
1192.jpg,a plate with a spoon and a small dish of food,Food / Eating
1193.jpg,a white shelf with vases and a painting on it,Indoor Objects / Scenes
1194.jpg,referee person is shown red by referee person after the final whistle,Social Interaction (Pairs)
1195.jpg,a couple running on the beach,Outdoor / Vehicles
1196.jpg,a baseball player swinging a bat at a ball,Sports / Physical Activity
1197.jpg,a woman and a child walking down a street,Adult-Child Interaction
1198.jpg,two cats sitting at a table,Animal Focus
1199.jpg,a patio with a table and chairs under an umbrella,Indoor Objects / Scenes
1200.jpg,a woman standing on a pier next to a bird,Human-Animal Interaction
1201.jpg,two hamburgers and fries are on a table,Indoor Objects / Scenes
1202.jpg,two birds are flying over the water in the marsh,Animal Focus
1203.jpg,a group of people playing soccer on the beach,Group / Crowd
1204.jpg,two men sitting at a table with a sign,Social Interaction (Pairs)
1205.jpg,a young boy holding an apple in his hand,Food / Eating
1206.jpg,a little girl playing in the sand on the beach,Sports / Physical Activity
1207.jpg,a group of young people playing a game of basketball,Group / Crowd
1208.jpg,a cat sitting on a table next to a cell,Technology / Screen
1209.jpg,a computer keyboard,Technology / Screen
1210.jpg,a white table,Indoor Objects / Scenes
1211.jpg,"a computer desk with a monitor, mouse and keyboard",Technology / Screen
1212.jpg,a woman in a red bikini is playing volleyball,Sports / Physical Activity
1213.jpg,a woman riding a surf board on a wave,Sports / Physical Activity
1214.jpg,a car driving down a road with two elk,Outdoor / Vehicles
1215.jpg,a woman sitting on a couch with a dog on her lap,Human-Animal Interaction
1216.jpg,a car is on the side of a dirt road,Outdoor / Vehicles
1217.jpg,a bunch of games and accessories,Group / Crowd
1218.jpg,a group of children sitting around a birthday cake,Group / Crowd
1219.jpg,a man in a white shirt and tan pants is standing in front of a helicopter,Single Person
1220.jpg,a couple of kids walking on a beach,Social Interaction (Pairs)
1221.jpg,"a desk with a computer, a phone and a bowl of strawberries",Technology / Screen
1222.jpg,a boy sliding into base,Single Person
1223.jpg,a man holding a flag,Single Person
1224.jpg,a woman sitting on a concrete ledge,Single Person
1225.jpg,a sailer and a dog on the beach in the bay area of san,Animal Focus
1226.jpg,a man in a hat and a man in a shirt on a beach,Social Interaction (Pairs)
1227.jpg,a man reading a newspaper while drinking a cup of coffee,Food / Eating
1228.jpg,a woman running on the beach with a dog,Human-Animal Interaction
1229.jpg,a cup of coffee and a pastry on a table,Food / Eating
1230.jpg,a small table with a vase and a book on it,Indoor Objects / Scenes
1231.jpg,a dog laying on a couch with a laptop,Technology / Screen
1232.jpg,a man standing in a field with a tree,Single Person
1233.jpg,"person, of person, competes in the girls 100 meter dash during the class 3a championships at the state track and field meet at the track is",Social Interaction (Pairs)
1234.jpg,a bowl of red liquid,Food / Eating
1235.jpg,flowers in a glass vase on a wooden table,Indoor Objects / Scenes
1236.jpg,a dog sitting on a desk with a laptop and a tray of food,Technology / Screen
1237.jpg,a man sitting on the grass,Single Person
1238.jpg,a woman in a wet suit is running through a puddle,Single Person
1239.jpg,a plate of food with a piece of fruit on it,Food / Eating
1240.jpg,a woman playing violin in the woods,Sports / Physical Activity
1241.jpg,a man standing in front of a building,Single Person
1242.jpg,a helicopter on the beach,Outdoor / Vehicles
1243.jpg,a red fire hydrant sitting next to a road closed sign,Outdoor / Vehicles
1244.jpg,a woman sitting on the beach reading a book,Single Person
1245.jpg,a wooden box with a radio on it,Technology / Screen
1246.jpg,a cup of coffee and two pistols,Food / Eating
1247.jpg,a purple bowl with a purple handle,Food / Eating
1248.jpg,a man kneeling down to pet a dog,Human-Animal Interaction
1249.jpg,a woman running on the beach at sunset,Single Person
1250.jpg,a bowl of oats and an apple,Food / Eating
1251.jpg,a bed or beds in a room at hotel la rocta,Indoor Objects / Scenes
1252.jpg,a young boy playing with a bat and ball,Sports / Physical Activity
1253.jpg,a man in a yellow helmet driving a race car,Single Person
1254.jpg,a man in a white shirt playing snooker,Sports / Physical Activity
1255.jpg,two women standing on the side of a road holding signs,Social Interaction (Pairs)
1256.jpg,a pumpkin and two small pumpkins sitting on a bench,Food / Eating
1257.jpg,a wooden swing set with two children playing on it,Social Interaction (Pairs)
1258.jpg,a man in white shirt playing cricket on grass,Sports / Physical Activity
1259.jpg,a dog sitting on a couch with a book,Animal Focus
1260.jpg,a group of women playing basketball on a court,Group / Crowd
1261.jpg,a family watching a movie in the backyard,Group / Crowd
1262.jpg,a table with a plate of food and glasses,Food / Eating
1263.jpg,a man and woman eating at a table,Social Interaction (Pairs)
1264.jpg,an elephant and her baby are silhouetted against the setting sun,Human-Animal Interaction
1265.jpg,a woman walking her dog down the street,Human-Animal Interaction
1266.jpg,a plant and a box of cigarettes sit on a window si,Indoor Objects / Scenes
1267.jpg,a girl standing next to a pot on a stove,Single Person
1268.jpg,a man walks on the beach with a rainbow flag,Single Person
1269.jpg,a helicopter is flying over a soldier,Sports / Physical Activity
1270.jpg,a plate of potato chips,Food / Eating
1271.jpg,a tree that has fallen down on a car,Outdoor / Vehicles
1272.jpg,a towel on a table,Indoor Objects / Scenes
1273.jpg,a cat laying on a laptop on a couch,Technology / Screen
1274.jpg,a soccer player catching the ball in the air,Sports / Physical Activity
1275.jpg,a vase of flowers sits on a table next to a door,Indoor Objects / Scenes
1276.jpg,two monitors on a desk with a lamp and a computer,Technology / Screen
1277.jpg,a woman sitting on a bench with a dog,Human-Animal Interaction
1278.jpg,two children eating food on the beach,Social Interaction (Pairs)
1279.jpg,a boy and his dog are sitting on the floor,Human-Animal Interaction
1280.jpg,a fire pit with a pot on top of it,Outdoor / Vehicles
1281.jpg,a bowl of chers and a book on a table,Food / Eating
1282.jpg,a woman sitting at a table with two children,Adult-Child Interaction
1283.jpg,a picture of a cat on a desk,Animal Focus
1284.jpg,a woman and a man standing next to a road closed sign,Social Interaction (Pairs)
1285.jpg,two men sitting at a table playing cards,Social Interaction (Pairs)
1286.jpg,a man and woman standing in front of a window,Social Interaction (Pairs)
1287.jpg,a woman reading a book,Single Person
1288.jpg,a sandwich and a soda on a table,Food / Eating
1289.jpg,a woman walking two children on a leash,Adult-Child Interaction
1290.jpg,a man playing tennis,Sports / Physical Activity
1291.jpg,a man and woman standing in front of a table with plates,Social Interaction (Pairs)
1292.jpg,a woman and a girl sitting on the floor with a dog,Adult-Child Interaction
1293.jpg,a small sailer is seen in the water,Outdoor / Vehicles
1294.jpg,a man standing next to a sign in the desert,Single Person
1295.jpg,a man and a little girl sitting on a couch,Adult-Child Interaction
1296.jpg,"a table with a bowl of cereal, a book, a spoon and a glass of beer",Food / Eating
1297.jpg,a man in yellow and black uniform playing hockey,Sports / Physical Activity
1298.jpg,a laptop computer,Technology / Screen
1299.jpg,two cats sitting on a kitchen counter,Food / Eating
1300.jpg,a woman sitting at a table,Single Person
1301.jpg,two girls sitting on the sidewalk with their bags,Social Interaction (Pairs)
1302.jpg,a man is playing with a white tiger in the water,Sports / Physical Activity
1303.jpg,two people are surfing in the ocean,Social Interaction (Pairs)
1304.jpg,a girl in a kitchen,Food / Eating
1305.jpg,a glass of beer and a book on a table,Food / Eating
1306.jpg,"a cup of coffee, a cell and a cell phone",Technology / Screen
1307.jpg,a fish and some food on a counter,Food / Eating
1308.jpg,two girls sitting on the beach reading books,Social Interaction (Pairs)
1309.jpg,a desk with a laptop and a monitor,Technology / Screen
1310.jpg,two women sitting at a table,Social Interaction (Pairs)
1311.jpg,a horse grazing on a grassy hill,Animal Focus
1312.jpg,two men playing soccer on a field,Social Interaction (Pairs)
1313.jpg,a vase with a flower and a fig,Indoor Objects / Scenes
1314.jpg,two chairs in front of a wall with a mirror,Indoor Objects / Scenes
1315.jpg,a plate of food on a table with a glass of beer,Food / Eating
1316.jpg,"a computer desk with a monitor, keyboard and mouse",Technology / Screen
1317.jpg,a bowl of mango jam with a spoon,Food / Eating
1318.jpg,a man standing on a street,Single Person
1319.jpg,a woman laying on the grass with her cell,Technology / Screen
1320.jpg,a little girl laying on a bed with a stuffed animal,Human-Animal Interaction
1321.jpg,a book with a picture of a woman on it,Single Person
1322.jpg,a computer desk with a monitor and a laptop,Technology / Screen
1323.jpg,two paintings on a wall next to a lamp,Indoor Objects / Scenes
1324.jpg,a computer desk with a monitor and speakers,Technology / Screen
1325.jpg,a man holding a book,Single Person
1326.jpg,a man and a little girl in a pool,Adult-Child Interaction
1327.jpg,a girl sitting on the floor,Single Person
1328.jpg,a white desk with a computer and a mouse,Technology / Screen
1329.jpg,a woman and a child playing on the beach,Adult-Child Interaction
1330.jpg,a man feeding a bird with his hand,Human-Animal Interaction
1331.jpg,a woman and a young girl reading a book by the water,Adult-Child Interaction
1332.jpg,a clock and some moss on a table,Indoor Objects / Scenes
1333.jpg,a woman and a baby in a bathtub,Adult-Child Interaction
1334.jpg,"a desk with a cup, pen holder, and a pencil holder",Food / Eating
1335.jpg,two men in suits and ties are talking,Social Interaction (Pairs)
1336.jpg,"image may 5, 2006 person, person, person, person and person of the beach boys at the beach boys, person, person, person, person, person, person, person, person, person",Social Interaction (Pairs)
1337.jpg,a guitar and a chair in a room,Indoor Objects / Scenes
1338.jpg,a woman and two children in a pool,Adult-Child Interaction
1339.jpg,two people are playing guitars in a room,Social Interaction (Pairs)
1340.jpg,a man and a little girl are walking down a long hallway,Adult-Child Interaction
1341.jpg,a woman in a lab coat is holding a stick,Single Person
1342.jpg,a woman sitting on the beach with a sail,Single Person
1343.jpg,a man walking down the street in front of a building,Single Person
1344.jpg,a little boy sitting at a table with bowls of food,Food / Eating
1345.jpg,a man sitting on the sidewalk with a guitar,Single Person
1346.jpg,a woman in a field with a bag,Single Person
1347.jpg,a fire pit with a chalk drawing on it,Outdoor / Vehicles
1348.jpg,a woman running with a dog on a leash,Human-Animal Interaction
1349.jpg,a cat eating a hamburger,Food / Eating
1350.jpg,a woman holding a parrot in her hand,Single Person
1351.jpg,a man is sitting at a desk with a book,Single Person
1352.jpg,a young boy sitting at a table eating a piece of pizza,Food / Eating
1353.jpg,a candle is lit in the bathtub with a book and a candle,Indoor Objects / Scenes
1354.jpg,a little girl playing with a dog in the grass,Human-Animal Interaction
1355.jpg,a man and woman cutting watermelon,Social Interaction (Pairs)
1356.jpg,a man and a small child are standing next to a horse,Adult-Child Interaction
1357.jpg,a person is eating food on a plate,Food / Eating
1358.jpg,a little girl standing in a room with a wall,Single Person
1359.jpg,person and person on the beach in miami,Social Interaction (Pairs)
1360.jpg,a woman standing in a kitchen with a wine bottle,Food / Eating
1361.jpg,a woman and a child sitting at a table,Adult-Child Interaction
1362.jpg,a plate of food on a table with milk and milk,Food / Eating
1363.jpg,a laptop on a table,Technology / Screen
1364.jpg,a man riding a motorcycle down a road,Single Person
1365.jpg,a man pouring a drink,Food / Eating
1366.jpg,two boys playing in the grass,Social Interaction (Pairs)
1367.jpg,a young boy laying on a couch with a cell in his hand,Technology / Screen
1368.jpg,two men sitting at a table talking,Social Interaction (Pairs)
1369.jpg,a computer desk with a chair and a computer,Technology / Screen
1370.jpg,a man kneeling down to a deer,Single Person
1371.jpg,a cup of coffee,Food / Eating
1372.jpg,a laptop on a wooden table with a vase and a vase,Technology / Screen
1373.jpg,a boy and a boy holding balloons in the street,Social Interaction (Pairs)
1374.jpg,a boy and his dog are sitting on the floor,Human-Animal Interaction
1375.jpg,an elephant crossing the road in front of a car,Animal Focus
1376.jpg,a woman eating a sandwich and drinking a drink,Food / Eating
1377.jpg,a black cat sitting in a pan on a stove,Food / Eating
1378.jpg,a woman reading a book,Single Person
1379.jpg,a woman holding a box in her hands,Single Person
1380.jpg,a man in a helmet and white shirt playing cricket,Sports / Physical Activity
1381.jpg,a plate with a pine design,Food / Eating
1382.jpg,a woman sitting at a desk with a computer,Technology / Screen
1383.jpg,a bed with a white comforter,Indoor Objects / Scenes
1384.jpg,a desk lamp with a book and pencils,Indoor Objects / Scenes
1385.jpg,a baby sitting on a high chair playing with a toy,Sports / Physical Activity
1386.jpg,a group of men playing instruments in a room,Group / Crowd
1387.jpg,a cup of coffee and a dont dont,Food / Eating
1388.jpg,a computer monitor on a desk,Technology / Screen
1389.jpg,two women holding signs on the side of a road,Social Interaction (Pairs)
1390.jpg,two kids playing in a pool with a fr frc,Social Interaction (Pairs)
1391.jpg,a plate of cookies and a cup of coffee on a table,Food / Eating
1392.jpg,a man playing snooker,Sports / Physical Activity
1393.jpg,a blue table with books and a vase on top,Indoor Objects / Scenes
1394.jpg,"a desk with a laptop, monitor, and other electronics",Technology / Screen
1395.jpg,a man and woman standing in front of a sign,Social Interaction (Pairs)
1396.jpg,"a laptop, a cell phone, a magazine, a pen, a pen, a pen and a pen",Technology / Screen
1397.jpg,a chair and a box of baby box,Single Person
1398.jpg,two little girls playing in the sand on the beach,Social Interaction (Pairs)
1399.jpg,two fish on a cutting board with a knife,Animal Focus
1400.jpg,a pink booth with a table and a remote control,Indoor Objects / Scenes
1401.jpg,a man in a gray shirt,Single Person
1402.jpg,a deer crossing the road,Outdoor / Vehicles
1403.jpg,a car driving down a road next to a grain mill,Outdoor / Vehicles
1404.jpg,a cat sitting in a kitchen next to a coffee maker,Food / Eating
1405.jpg,a woman laying on a couch using a laptop,Technology / Screen
1406.jpg,a man in a blue shirt paddles a red ball on a paddle board,Sports / Physical Activity
1407.jpg,a woman in a blue shirt,Single Person
1408.jpg,basketball player dribing the ball against basketball player,Sports / Physical Activity
1409.jpg,a little girl holding a cell phone,Technology / Screen
1410.jpg,"a glass jar, spoon, and a spoon with a spoon in it",Indoor Objects / Scenes
1411.jpg,a donkey crossing the road,Outdoor / Vehicles
1412.jpg,a person sitting at a table with a book and a glass of wine,Food / Eating
1413.jpg,a man walks past a military vehicle,Single Person
1414.jpg,a small dog standing next to a bottle of beer,Food / Eating
1415.jpg,a man standing in front of a projection screen,Technology / Screen
1416.jpg,a miniature table with food on it,Food / Eating
1417.jpg,a laptop computer sitting on top of a wooden desk,Technology / Screen
1418.jpg,a child sitting at a table,Single Person
1419.jpg,a boy kicking a soccer ball on the beach,Sports / Physical Activity
1420.jpg,a man jumping over a dog on top of a tram tram,Human-Animal Interaction
1421.jpg,a woman and a child sitting on the floor,Adult-Child Interaction
1422.jpg,a man is trying to get his car out of the water,Single Person
1423.jpg,a cup and saucer on a table,Food / Eating
1424.jpg,a cat laying on top of a bed next to a book,Animal Focus
1425.jpg,two children are cooking over a fire in the woods,Social Interaction (Pairs)
1426.jpg,a wa wa is being cooked in a wa wa wa wa wa wa wa wa wa wa wa wa wa,Food / Eating
1427.jpg,a woman standing in front of a wall with paintings,Single Person
1428.jpg,a plate with a flower and a lemon on it,Food / Eating
1429.jpg,two women playing volleyball on the beach,Social Interaction (Pairs)
1430.jpg,a woman in a hospital bed,Single Person
1431.jpg,a woman in a white dress standing next to a bottle of alcohol,Single Person
1432.jpg,a girl is cutting out a piece of paper,Single Person
1433.jpg,a woman sitting on the ground playing a guitar,Sports / Physical Activity
1434.jpg,a group of people walking on a beach with dogs,Group / Crowd
1435.jpg,a woman walking across the street in front of a car,Single Person
1436.jpg,a man in a hard hat and safety vest is holding a stop sign,Single Person
1437.jpg,a man is parading with an american flag,Single Person
1438.jpg,a woman leaning against a blue wall with a street sign,Single Person
1439.jpg,a soldier aims a target at a target,Sports / Physical Activity
1440.jpg,a man standing next to a surfboard on a beach,Single Person
1441.jpg,a woman sitting on the ground with a tiger,Single Person
1442.jpg,a man playing a violin on the street,Sports / Physical Activity
1443.jpg,a woman standing on a ladder,Single Person
1444.jpg,two girls in a gym,Social Interaction (Pairs)
1445.jpg,a man sitting at a table with a laptop,Technology / Screen
1446.jpg,a woman playing a guitar under a tree,Sports / Physical Activity
1447.jpg,a little girl is playing with a toy,Sports / Physical Activity
1448.jpg,a man playing snooker,Sports / Physical Activity
1449.jpg,a pink mixer sitting on top of a wooden counter,Indoor Objects / Scenes
1450.jpg,a man playing soccer on the beach,Sports / Physical Activity
1451.jpg,a woman sitting on the beach reading a book,Single Person
1452.jpg,a small wooden animal with a tag on it,Animal Focus
1453.jpg,a woman sitting on a sidewalk with a dog,Human-Animal Interaction
1454.jpg,a woman walking across a field with a van in the background,Single Person
