image,caption,category
1071.jpg,two children playing in the sand at the beach,Children
1072.jpg,a girl jumping in the air at sunset,Children
1073.jpg,a penguin is playing with a soccer ball,Animals
1074.jpg,a person is playing with a ball on the beach,Outdoor_Nature
1075.jpg,the girls are playing with a ball in the field,Children
1076.jpg,a dog laying on the floor next to a tablet,Animals
1077.jpg,a man sitting at a desk with a laptop,Technology_Screens
1078.jpg,a woman sitting at a table with a plate of food,Food_Dining
1079.jpg,a car driving down the street with a sign,Transportation_Vehicles
1080.jpg,a dog laying on the ground with a rifle and a duck,Animals
1081.jpg,a group of people playing a game of fr frc,Social_Interaction
1082.jpg,a hummingbird flying over a rose,Animals
1083.jpg,a young boy playing in the snow with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr,Children
1084.jpg,a cat walking across a beach,Animals
1085.jpg,a woman walking two dogs down a path,Animals
1086.jpg,a white stove,Other
1087.jpg,"a bedroom with a bed, chair and a window",Indoor_Objects_Furniture
1088.jpg,a man and woman riding bikes next to a large cruise ship,Social_Interaction
1089.jpg,a man playing a guitar,Sports_Activity
1090.jpg,a small child standing next to a big dog,Children
1091.jpg,a living room with couches and a fireplace,Indoor_Objects_Furniture
1092.jpg,a plant on a wooden shelf next to a painting,Indoor_Objects_Furniture
1093.jpg,a plate of food and a book on a table,Food_Dining
1094.jpg,a man in a coat and hat looking at his cell,Technology_Screens
1095.jpg,a man playing guitar on a stage in front of a building,Sports_Activity
1096.jpg,a man sitting at a table with a laptop,Technology_Screens
1097.jpg,a small dog laying in the grass with a ball,Animals
1098.jpg,a laptop and a phone on a desk,Technology_Screens
1099.jpg,a basket with a flower and a magazine on top,Other
1100.jpg,a woman sitting at a table with a drink,Food_Dining
1101.jpg,two boys playing in the water,Children
1102.jpg,three men sitting at a table,Multiple_People
1103.jpg,three people sitting in chairs playing accordions,Social_Interaction
1104.jpg,a wooden table,Indoor_Objects_Furniture
1105.jpg,a large painting on the wall,Other
1106.jpg,a man laying on a bed with a laptop and a dog,Animals
1107.jpg,a woman sitting at a desk using a computer,Technology_Screens
1108.jpg,a woman holding a bowl of food in her hands,Food_Dining
1109.jpg,a yellow chair and a blue bag on the grass,Outdoor_Nature
1110.jpg,two little girls sitting on a bed,Children
1111.jpg,a football player is about to throw the ball,Sports_Activity
1112.jpg,a woman walking a dog down a street,Animals
1113.jpg,a man kneeling down on the ground with a paint can,Human_Single
1114.jpg,two girls skate down a street in the city,Children
1115.jpg,a woman is jumping off a rock into the ocean,Outdoor_Nature
1116.jpg,a kitchen with black tile and green accents,Indoor_Objects_Furniture
1117.jpg,a man sitting at a table with a laptop and a sandwich,Food_Dining
1118.jpg,a laptop computer,Technology_Screens
1119.jpg,a group of people holding plates of food,Social_Interaction
1120.jpg,a bike parked against a garage door in the middle of the city,Sports_Activity
1121.jpg,two people standing in front of a sign,Social_Interaction
1122.jpg,a cat eating food out of a plate in a kitchen,Animals
1123.jpg,a dog is walking on the beach with a plastic bottle,Animals
1124.jpg,a group of young women playing tennis on a tennis court,Multiple_People
1125.jpg,a young boy holding a guitar in his hand,Children
1126.jpg,a man playing pool,Social_Interaction
1127.jpg,a man eating a dough with powdered sugar on it,Human_Single
1128.jpg,a bird sitting on a bag,Animals
1129.jpg,a small dog standing on top of a wooden chair,Animals
1130.jpg,a man is handing a bowl of flowers to another man,Food_Dining
1131.jpg,person is listed as the most professional tennis player in the world,Sports_Activity
1132.jpg,a man in a green shirt and sunglasses singing into a microphone,Technology_Screens
1133.jpg,"a table with a cup of tea, lemons and a can of soda",Indoor_Objects_Furniture
1134.jpg,a white chair with a monitor on it,Technology_Screens
1135.jpg,a woman in a green shirt and black shorts playing soccer,Sports_Activity
1136.jpg,a group of men sitting around a table,Multiple_People
1137.jpg,a plate with two slices of cake on it,Food_Dining
1138.jpg,a man playing drums,Sports_Activity
1139.jpg,a man playing frurd with a dog,Animals
1140.jpg,a group of people dressed as a rabbit,Social_Interaction
1141.jpg,a woman in a kitchen preparing food,Food_Dining
1142.jpg,a todd playing with toys on the floor,Other
1143.jpg,a piece of cheese on a plate next to a cup of coffee,Food_Dining
1144.jpg,a pineapple and a pineapple drink on a table,Food_Dining
1145.jpg,a man sitting on a wooden table with a red light,Indoor_Objects_Furniture
1146.jpg,a man and a child are standing next to a sign,Children
1147.jpg,a woman and a child playing with a stuffed animal,Children
1148.jpg,a dog is sitting next to a bowl of food,Animals
1149.jpg,a table with a variety of food on it,Food_Dining
1150.jpg,a man in a green uniform and blue gloves is looking at a small turtle on the beach,Outdoor_Nature
1151.jpg,a banana and a banana peel on a cutting board,Other
1152.jpg,a plate with a plate of food and a book,Food_Dining
1153.jpg,"a laptop computer sitting on a desk with a book, mouse, and mouse",Technology_Screens
1154.jpg,a young girl is playing with a monkey,Children
1155.jpg,a couple of kids walking on a beach,Children
1156.jpg,a man and a child playing pool,Children
1157.jpg,a group of people playing instruments in a room,Social_Interaction
1158.jpg,a woman is feeding a dog in a bucket,Animals
1159.jpg,two men are sitting at a table with a bowling ball,Multiple_People
1160.jpg,a woman sitting on the road with her legs crossed,Outdoor_Nature
1161.jpg,a woman sitting in a chair with two men standing behind her,Multiple_People
1162.jpg,two boys holding up a clock with a sign on it,Children
1163.jpg,a woman is standing next to a sign,Human_Single
1164.jpg,a person flying a kite on the beach,Outdoor_Nature
1165.jpg,a woman standing in a yard with a camera,Human_Single
1166.jpg,a red bowl and a black kettle on a blue table,Food_Dining
1167.jpg,a man holding a child and an eagle,Children
1168.jpg,a person is holding chops over a plate of sui,Human_Single
1169.jpg,two girls playing soccer on a field,Children
1170.jpg,a boy and a girl sitting on a couch playing with a tablet,Children
1171.jpg,a watch and a cell phone on a black surface,Technology_Screens
1172.jpg,a man running on the beach,Outdoor_Nature
1173.jpg,a man riding a bike down the road,Sports_Activity
1174.jpg,a pink couch,Indoor_Objects_Furniture
1175.jpg,a large elk crossing the road,Outdoor_Nature
1176.jpg,a group of people walking down a snow covered street,Social_Interaction
1177.jpg,two women are posing for the camera in a booth,Multiple_People
1178.jpg,a little girl sitting at a table with a cup and a spoon,Children
1179.jpg,a vase of flowers on a table with a remote control,Indoor_Objects_Furniture
1180.jpg,three boys standing in the dirt near a field,Children
1181.jpg,a man sitting on the sidewalk next to a sign,Human_Single
1182.jpg,a woman in a blue dress,Human_Single
1183.jpg,a woman standing next to a fire,Human_Single
1184.jpg,a young boy standing in a room with a toy,Children
1185.jpg,a baseball player is throwing a ball,Sports_Activity
1186.jpg,a little girl is playing with some balls,Children
1187.jpg,a man and woman eating food outside,Social_Interaction
1188.jpg,a group of people in white outfits holding a torch,Social_Interaction
1189.jpg,a woman sitting at a table with a drink,Food_Dining
1190.jpg,a young boy is holding a toothbrush,Children
1191.jpg,two children playing on the beach,Children
1192.jpg,a plate with a spoon and a small dish of food,Food_Dining
1193.jpg,a white shelf with vases and a painting on it,Indoor_Objects_Furniture
1194.jpg,referee person is shown red by referee person after the final whistle,Human_Single
1195.jpg,a couple running on the beach,Outdoor_Nature
1196.jpg,a baseball player swinging a bat at a ball,Sports_Activity
1197.jpg,a woman and a child walking down a street,Children
1198.jpg,two cats sitting at a table,Animals
1199.jpg,a patio with a table and chairs under an umbrella,Indoor_Objects_Furniture
1200.jpg,a woman standing on a pier next to a bird,Animals
1201.jpg,two hamburgers and fries are on a table,Indoor_Objects_Furniture
1202.jpg,two birds are flying over the water in the marsh,Animals
1203.jpg,a group of people playing soccer on the beach,Social_Interaction
1204.jpg,two men sitting at a table with a sign,Multiple_People
1205.jpg,a young boy holding an apple in his hand,Children
1206.jpg,a little girl playing in the sand on the beach,Children
1207.jpg,a group of young people playing a game of basketball,Social_Interaction
1208.jpg,a cat sitting on a table next to a cell,Animals
1209.jpg,a computer keyboard,Technology_Screens
1210.jpg,a white table,Indoor_Objects_Furniture
1211.jpg,"a computer desk with a monitor, mouse and keyboard",Technology_Screens
1212.jpg,a woman in a red bikini is playing volleyball,Sports_Activity
1213.jpg,a woman riding a surf board on a wave,Human_Single
1214.jpg,a car driving down a road with two elk,Transportation_Vehicles
1215.jpg,a woman sitting on a couch with a dog on her lap,Animals
1216.jpg,a car is on the side of a dirt road,Transportation_Vehicles
1217.jpg,a bunch of games and accessories,Other
1218.jpg,a group of children sitting around a birthday cake,Children
1219.jpg,a man in a white shirt and tan pants is standing in front of a helicopter,Transportation_Vehicles
1220.jpg,a couple of kids walking on a beach,Children
1221.jpg,"a desk with a computer, a phone and a bowl of strawberries",Food_Dining
1222.jpg,a boy sliding into base,Children
1223.jpg,a man holding a flag,Human_Single
1224.jpg,a woman sitting on a concrete ledge,Human_Single
1225.jpg,a sailer and a dog on the beach in the bay area of san,Animals
1226.jpg,a man in a hat and a man in a shirt on a beach,Outdoor_Nature
1227.jpg,a man reading a newspaper while drinking a cup of coffee,Food_Dining
1228.jpg,a woman running on the beach with a dog,Animals
1229.jpg,a cup of coffee and a pastry on a table,Food_Dining
1230.jpg,a small table with a vase and a book on it,Indoor_Objects_Furniture
1231.jpg,a dog laying on a couch with a laptop,Animals
1232.jpg,a man standing in a field with a tree,Outdoor_Nature
1233.jpg,"person, of person, competes in the girls 100 meter dash during the class 3a championships at the state track and field meet at the track is",Children
1234.jpg,a bowl of red liquid,Food_Dining
1235.jpg,flowers in a glass vase on a wooden table,Indoor_Objects_Furniture
1236.jpg,a dog sitting on a desk with a laptop and a tray of food,Animals
1237.jpg,a man sitting on the grass,Outdoor_Nature
1238.jpg,a woman in a wet suit is running through a puddle,Human_Single
1239.jpg,a plate of food with a piece of fruit on it,Food_Dining
1240.jpg,a woman playing violin in the woods,Human_Single
1241.jpg,a man standing in front of a building,Human_Single
1242.jpg,a helicopter on the beach,Transportation_Vehicles
1243.jpg,a red fire hydrant sitting next to a road closed sign,Outdoor_Nature
1244.jpg,a woman sitting on the beach reading a book,Outdoor_Nature
1245.jpg,a wooden box with a radio on it,Other
1246.jpg,a cup of coffee and two pistols,Food_Dining
1247.jpg,a purple bowl with a purple handle,Food_Dining
1248.jpg,a man kneeling down to pet a dog,Animals
1249.jpg,a woman running on the beach at sunset,Outdoor_Nature
1250.jpg,a bowl of oats and an apple,Food_Dining
1251.jpg,a bed or beds in a room at hotel la rocta,Indoor_Objects_Furniture
1252.jpg,a young boy playing with a bat and ball,Children
1253.jpg,a man in a yellow helmet driving a race car,Transportation_Vehicles
1254.jpg,a man in a white shirt playing snooker,Human_Single
1255.jpg,two women standing on the side of a road holding signs,Multiple_People
1256.jpg,a pumpkin and two small pumpkins sitting on a bench,Other
1257.jpg,a wooden swing set with two children playing on it,Children
1258.jpg,a man in white shirt playing cricket on grass,Outdoor_Nature
1259.jpg,a dog sitting on a couch with a book,Animals
1260.jpg,a group of women playing basketball on a court,Multiple_People
1261.jpg,a family watching a movie in the backyard,Other
1262.jpg,a table with a plate of food and glasses,Food_Dining
1263.jpg,a man and woman eating at a table,Social_Interaction
1264.jpg,an elephant and her baby are silhouetted against the setting sun,Other
1265.jpg,a woman walking her dog down the street,Animals
1266.jpg,a plant and a box of cigarettes sit on a window si,Other
1267.jpg,a girl standing next to a pot on a stove,Children
1268.jpg,a man walks on the beach with a rainbow flag,Outdoor_Nature
1269.jpg,a helicopter is flying over a soldier,Transportation_Vehicles
1270.jpg,a plate of potato chips,Other
1271.jpg,a tree that has fallen down on a car,Transportation_Vehicles
1272.jpg,a towel on a table,Indoor_Objects_Furniture
1273.jpg,a cat laying on a laptop on a couch,Animals
1274.jpg,a soccer player catching the ball in the air,Animals
1275.jpg,a vase of flowers sits on a table next to a door,Indoor_Objects_Furniture
1276.jpg,two monitors on a desk with a lamp and a computer,Technology_Screens
1277.jpg,a woman sitting on a bench with a dog,Animals
1278.jpg,two children eating food on the beach,Children
1279.jpg,a boy and his dog are sitting on the floor,Children
1280.jpg,a fire pit with a pot on top of it,Other
1281.jpg,a bowl of chers and a book on a table,Food_Dining
1282.jpg,a woman sitting at a table with two children,Children
1283.jpg,a picture of a cat on a desk,Animals
1284.jpg,a woman and a man standing next to a road closed sign,Outdoor_Nature
1285.jpg,two men sitting at a table playing cards,Multiple_People
1286.jpg,a man and woman standing in front of a window,Social_Interaction
1287.jpg,a woman reading a book,Human_Single
1288.jpg,a sandwich and a soda on a table,Food_Dining
1289.jpg,a woman walking two children on a leash,Children
1290.jpg,a man playing tennis,Sports_Activity
1291.jpg,a man and woman standing in front of a table with plates,Social_Interaction
1292.jpg,a woman and a girl sitting on the floor with a dog,Children
1293.jpg,a small sailer is seen in the water,Other
1294.jpg,a man standing next to a sign in the desert,Human_Single
1295.jpg,a man and a little girl sitting on a couch,Children
1296.jpg,"a table with a bowl of cereal, a book, a spoon and a glass of beer",Food_Dining
1297.jpg,a man in yellow and black uniform playing hockey,Human_Single
1298.jpg,a laptop computer,Technology_Screens
1299.jpg,two cats sitting on a kitchen counter,Animals
1300.jpg,a woman sitting at a table,Indoor_Objects_Furniture
1301.jpg,two girls sitting on the sidewalk with their bags,Children
1302.jpg,a man is playing with a white tiger in the water,Human_Single
1303.jpg,two people are surfing in the ocean,Social_Interaction
1304.jpg,a girl in a kitchen,Children
1305.jpg,a glass of beer and a book on a table,Indoor_Objects_Furniture
1306.jpg,"a cup of coffee, a cell and a cell phone",Food_Dining
1307.jpg,a fish and some food on a counter,Food_Dining
1308.jpg,two girls sitting on the beach reading books,Children
1309.jpg,a desk with a laptop and a monitor,Technology_Screens
1310.jpg,two women sitting at a table,Multiple_People
1311.jpg,a horse grazing on a grassy hill,Outdoor_Nature
1312.jpg,two men playing soccer on a field,Multiple_People
1313.jpg,a vase with a flower and a fig,Other
1314.jpg,two chairs in front of a wall with a mirror,Indoor_Objects_Furniture
1315.jpg,a plate of food on a table with a glass of beer,Food_Dining
1316.jpg,"a computer desk with a monitor, keyboard and mouse",Technology_Screens
1317.jpg,a bowl of mango jam with a spoon,Food_Dining
1318.jpg,a man standing on a street,Outdoor_Nature
1319.jpg,a woman laying on the grass with her cell,Technology_Screens
1320.jpg,a little girl laying on a bed with a stuffed animal,Children
1321.jpg,a book with a picture of a woman on it,Human_Single
1322.jpg,a computer desk with a monitor and a laptop,Technology_Screens
1323.jpg,two paintings on a wall next to a lamp,Other
1324.jpg,a computer desk with a monitor and speakers,Technology_Screens
1325.jpg,a man holding a book,Human_Single
1326.jpg,a man and a little girl in a pool,Children
1327.jpg,a girl sitting on the floor,Children
1328.jpg,a white desk with a computer and a mouse,Technology_Screens
1329.jpg,a woman and a child playing on the beach,Children
1330.jpg,a man feeding a bird with his hand,Human_Animal_Interaction
1331.jpg,a woman and a young girl reading a book by the water,Children
1332.jpg,a clock and some moss on a table,Indoor_Objects_Furniture
1333.jpg,a woman and a baby in a bathtub,Human_Single
1334.jpg,"a desk with a cup, pen holder, and a pencil holder",Other
1335.jpg,two men in suits and ties are talking,Social_Interaction
1336.jpg,"image may 5, 2006 person, person, person, person and person of the beach boys at the beach boys, person, person, person, person, person, person, person, person, person",Children
1337.jpg,a guitar and a chair in a room,Sports_Activity
1338.jpg,a woman and two children in a pool,Children
1339.jpg,two people are playing guitars in a room,Social_Interaction
1340.jpg,a man and a little girl are walking down a long hallway,Children
1341.jpg,a woman in a lab coat is holding a stick,Human_Single
1342.jpg,a woman sitting on the beach with a sail,Outdoor_Nature
1343.jpg,a man walking down the street in front of a building,Outdoor_Nature
1344.jpg,a little boy sitting at a table with bowls of food,Children
1345.jpg,a man sitting on the sidewalk with a guitar,Sports_Activity
1346.jpg,a woman in a field with a bag,Human_Single
1347.jpg,a fire pit with a chalk drawing on it,Other
1348.jpg,a woman running with a dog on a leash,Animals
1349.jpg,a cat eating a hamburger,Animals
1350.jpg,a woman holding a parrot in her hand,Human_Single
1351.jpg,a man is sitting at a desk with a book,Human_Single
1352.jpg,a young boy sitting at a table eating a piece of pizza,Children
1353.jpg,a candle is lit in the bathtub with a book and a candle,Other
1354.jpg,a little girl playing with a dog in the grass,Children
1355.jpg,a man and woman cutting watermelon,Social_Interaction
1356.jpg,a man and a small child are standing next to a horse,Children
1357.jpg,a person is eating food on a plate,Food_Dining
1358.jpg,a little girl standing in a room with a wall,Children
1359.jpg,person and person on the beach in miami,Outdoor_Nature
1360.jpg,a woman standing in a kitchen with a wine bottle,Indoor_Objects_Furniture
1361.jpg,a woman and a child sitting at a table,Children
1362.jpg,a plate of food on a table with milk and milk,Food_Dining
1363.jpg,a laptop on a table,Technology_Screens
1364.jpg,a man riding a motorcycle down a road,Outdoor_Nature
1365.jpg,a man pouring a drink,Food_Dining
1366.jpg,two boys playing in the grass,Children
1367.jpg,a young boy laying on a couch with a cell in his hand,Children
1368.jpg,two men sitting at a table talking,Social_Interaction
1369.jpg,a computer desk with a chair and a computer,Technology_Screens
1370.jpg,a man kneeling down to a deer,Human_Single
1371.jpg,a cup of coffee,Food_Dining
1372.jpg,a laptop on a wooden table with a vase and a vase,Technology_Screens
1373.jpg,a boy and a boy holding balloons in the street,Children
1374.jpg,a boy and his dog are sitting on the floor,Children
1375.jpg,an elephant crossing the road in front of a car,Transportation_Vehicles
1376.jpg,a woman eating a sandwich and drinking a drink,Food_Dining
1377.jpg,a black cat sitting in a pan on a stove,Animals
1378.jpg,a woman reading a book,Human_Single
1379.jpg,a woman holding a box in her hands,Human_Single
1380.jpg,a man in a helmet and white shirt playing cricket,Human_Single
1381.jpg,a plate with a pine design,Other
1382.jpg,a woman sitting at a desk with a computer,Technology_Screens
1383.jpg,a bed with a white comforter,Indoor_Objects_Furniture
1384.jpg,a desk lamp with a book and pencils,Other
1385.jpg,a baby sitting on a high chair playing with a toy,Indoor_Objects_Furniture
1386.jpg,a group of men playing instruments in a room,Multiple_People
1387.jpg,a cup of coffee and a dont dont,Food_Dining
1388.jpg,a computer monitor on a desk,Technology_Screens
1389.jpg,two women holding signs on the side of a road,Multiple_People
1390.jpg,two kids playing in a pool with a fr frc,Children
1391.jpg,a plate of cookies and a cup of coffee on a table,Food_Dining
1392.jpg,a man playing snooker,Human_Single
1393.jpg,a blue table with books and a vase on top,Indoor_Objects_Furniture
1394.jpg,"a desk with a laptop, monitor, and other electronics",Technology_Screens
1395.jpg,a man and woman standing in front of a sign,Social_Interaction
1396.jpg,"a laptop, a cell phone, a magazine, a pen, a pen, a pen and a pen",Technology_Screens
1397.jpg,a chair and a box of baby box,Indoor_Objects_Furniture
1398.jpg,two little girls playing in the sand on the beach,Children
1399.jpg,two fish on a cutting board with a knife,Other
1400.jpg,a pink booth with a table and a remote control,Indoor_Objects_Furniture
1401.jpg,a man in a gray shirt,Human_Single
1402.jpg,a deer crossing the road,Outdoor_Nature
1403.jpg,a car driving down a road next to a grain mill,Transportation_Vehicles
1404.jpg,a cat sitting in a kitchen next to a coffee maker,Animals
1405.jpg,a woman laying on a couch using a laptop,Technology_Screens
1406.jpg,a man in a blue shirt paddles a red ball on a paddle board,Human_Single
1407.jpg,a woman in a blue shirt,Human_Single
1408.jpg,basketball player dribing the ball against basketball player,Other
1409.jpg,a little girl holding a cell phone,Children
1410.jpg,"a glass jar, spoon, and a spoon with a spoon in it",Other
1411.jpg,a donkey crossing the road,Outdoor_Nature
1412.jpg,a person sitting at a table with a book and a glass of wine,Indoor_Objects_Furniture
1413.jpg,a man walks past a military vehicle,Human_Single
1414.jpg,a small dog standing next to a bottle of beer,Animals
1415.jpg,a man standing in front of a projection screen,Human_Single
1416.jpg,a miniature table with food on it,Food_Dining
1417.jpg,a laptop computer sitting on top of a wooden desk,Technology_Screens
1418.jpg,a child sitting at a table,Children
1419.jpg,a boy kicking a soccer ball on the beach,Children
1420.jpg,a man jumping over a dog on top of a tram tram,Animals
1421.jpg,a woman and a child sitting on the floor,Children
1422.jpg,a man is trying to get his car out of the water,Transportation_Vehicles
1423.jpg,a cup and saucer on a table,Indoor_Objects_Furniture
1424.jpg,a cat laying on top of a bed next to a book,Animals
1425.jpg,two children are cooking over a fire in the woods,Children
1426.jpg,a wa wa is being cooked in a wa wa wa wa wa wa wa wa wa wa wa wa wa,Other
1427.jpg,a woman standing in front of a wall with paintings,Human_Single
1428.jpg,a plate with a flower and a lemon on it,Other
1429.jpg,two women playing volleyball on the beach,Multiple_People
1430.jpg,a woman in a hospital bed,Indoor_Objects_Furniture
1431.jpg,a woman in a white dress standing next to a bottle of alcohol,Human_Single
1432.jpg,a girl is cutting out a piece of paper,Children
1433.jpg,a woman sitting on the ground playing a guitar,Sports_Activity
1434.jpg,a group of people walking on a beach with dogs,Social_Interaction
1435.jpg,a woman walking across the street in front of a car,Transportation_Vehicles
1436.jpg,a man in a hard hat and safety vest is holding a stop sign,Human_Single
1437.jpg,a man is parading with an american flag,Human_Single
1438.jpg,a woman leaning against a blue wall with a street sign,Outdoor_Nature
1439.jpg,a soldier aims a target at a target,Other
1440.jpg,a man standing next to a surfboard on a beach,Outdoor_Nature
1441.jpg,a woman sitting on the ground with a tiger,Human_Single
1442.jpg,a man playing a violin on the street,Outdoor_Nature
1443.jpg,a woman standing on a ladder,Human_Single
1444.jpg,two girls in a gym,Children
1445.jpg,a man sitting at a table with a laptop,Technology_Screens
1446.jpg,a woman playing a guitar under a tree,Sports_Activity
1447.jpg,a little girl is playing with a toy,Children
1448.jpg,a man playing snooker,Human_Single
1449.jpg,a pink mixer sitting on top of a wooden counter,Other
1450.jpg,a man playing soccer on the beach,Sports_Activity
1451.jpg,a woman sitting on the beach reading a book,Outdoor_Nature
1452.jpg,a small wooden animal with a tag on it,Other
1453.jpg,a woman sitting on a sidewalk with a dog,Animals
1454.jpg,a woman walking across a field with a van in the background,Human_Single
1455.jpg,a woman in blue shirt and white shorts playing tennis,Sports_Activity
1456.jpg,a table with a variety of fruits and a box of yories,Indoor_Objects_Furniture
1457.jpg,a lamp and a table with a lamp on it,Indoor_Objects_Furniture
1458.jpg,a red table with a spray can and a spray can,Indoor_Objects_Furniture
1459.jpg,a little girl eating a meal of food,Children
1460.jpg,two men are jumping into the water with surfboards,Multiple_People
1461.jpg,a woman standing in front of a glass door,Human_Single
1462.jpg,a man in a suit and hat talking to another man,Social_Interaction
1463.jpg,a man and woman standing next to a road sign,Social_Interaction
1464.jpg,a woman is working on a fish,Human_Single
1465.jpg,a woman sitting on a bench in front of a fountain,Human_Single
1466.jpg,a person cutting a bun on a plate,Human_Single
1467.jpg,a woman reading a book to a child,Children
1468.jpg,a basketball player is shooting the ball,Other
1469.jpg,a table with a glass vase and flowers,Indoor_Objects_Furniture
1470.jpg,a yellow caution sign,Other
1471.jpg,"a room with a bed, a chair, and a lamp",Indoor_Objects_Furniture
1472.jpg,a young boy is playing soccer on the field,Children
1473.jpg,a white bird standing on top of a boat,Animals
1474.jpg,a man walking on a beach next to a boat,Outdoor_Nature
1475.jpg,two young girls playing soccer on a field,Children
1476.jpg,a window with a star on it,Other
1477.jpg,a little girl walking with her dog on the beach,Children
1478.jpg,a woman is standing on the beach next to a no swimming sign,Outdoor_Nature
1479.jpg,a woman petting a dog outside,Animals
1480.jpg,a woman sitting at a table with a plate of food,Food_Dining
1481.jpg,a man eating food on the grass,Food_Dining
1482.jpg,two people are sitting on the beach watching the sunset,Social_Interaction
1483.jpg,a woman running on a track,Human_Single
1484.jpg,a group of people sitting at a table,Social_Interaction
1485.jpg,a woman in a headscarves sits at a computer,Technology_Screens
1486.jpg,a man in a yellow jacket is cleaning a red car,Transportation_Vehicles
1487.jpg,a guitar and a bottle of wine on a table,Sports_Activity
1488.jpg,a desk with a laptop and a lamp,Technology_Screens
1489.jpg,a laptop computer sitting on a desk next to a lamp,Technology_Screens
1490.jpg,a cat sleeping in a bathroom with a bowl,Animals
1491.jpg,a man standing in front of a store,Human_Single
1492.jpg,a lamp with a flower in it,Other
1493.jpg,a man and a little girl laying on a blue blanket,Children
1494.jpg,a cup with a sticker and a ball on a table,Indoor_Objects_Furniture
